location,date,value
Spain,2017/09,9476.29
Spain,2017/10,7789.23
Spain,2017/11,4642.35
Spain,2017/12,4530.66
Spain,2018/01,4524.43
Spain,2018/02,4535.94
Spain,2018/03,5726.73
Spain,2018/04,6621.53
Spain,2018/05,8155.06
Spain,2018/06,9370.81
Spain,2018/07,11748.1
Spain,2018/08,11459.69
Spain,2018/09,9545.81
Spain,2018/10,8164.58
Spain,2018/11,4888.55
Spain,2018/12,5009.52
Spain,2019/01,4678.67
Spain,2019/02,4658.61
Spain,2019/03,6034.87
Spain,2019/04,7056.36
Spain,2019/05,8137.84
Spain,2019/06,9686.12
Spain,2019/07,11941.51
Spain,2019/08,11704.76
Spain,2019/09,9617.21
Spain,2019/10,8322.55
Spain,2019/11,5062.63
Spain,2019/12,5010.84
Spain,2020/01,4767.31
Spain,2020/02,4789.29
Spain,2020/03,2173.73
Spain,2020/04,0
Spain,2020/05,0
Spain,2020/06,133.89
Spain,2020/07,2457.94
Spain,2020/08,2456.85
Spain,2020/09,964.49
Spain,2020/10,864.49
Spain,2020/11,481.98
Spain,2020/12,696.81
Spain,2021/01,451.86
Spain,2021/02,322.05
Spain,2021/03,512.56
Spain,2021/04,671.04
Spain,2021/05,1391.66
Spain,2021/06,2416.1
Spain,2021/07,5230.98
Spain,2021/08,5901.6
Spain,2021/09,5040.88
Spain,2021/10,5587.46
